1.695955125115040119e+01,2.118957838407829364e+00,9.369233630063044105e-01
1.454785796295686318e+01,1.783288245348503942e+00,6.083910266851354498e-01
1.417476757236662444e+01,1.735890792405840211e+00,5.833286351013822202e-01
1.390318429574627324e+01,1.702553718658272430e+00,5.717084838618151643e-01
1.364114353498373688e+01,1.670461126792645246e+00,5.609124340371490769e-01
1.338424450701316815e+01,1.639001728718938011e+00,5.503479914101471193e-01
1.313219305384068925e+01,1.608136116016545270e+00,5.399838049406354701e-01
1.288488907342581768e+01,1.577851878677170028e+00,5.298148956455844827e-01
1.264224258268080625e+01,1.548137994878312274e+00,5.198375480680301752e-01
1.240416616603089750e+01,1.518983760616712031e+00,5.100481717017201211e-01
1.217057015809215770e+01,1.490378135376368318e+00,5.004427366541367439e-01
1.194137530396944591e+01,1.462311501381146961e+00,4.910184820264242855e-01
1.171649676563270148e+01,1.434773433149573396e+00,4.817717122502198079e-01
1.149585199316350881e+01,1.407753803957234595e+00,4.726989313750790678e-01
1.127936312342432146e+01,1.381243107435648376e+00,4.637971001292722772e-01
1.106695104458747636e+01,1.355231647185284549e+00,4.550629168390637469e-01
1.085853962235181314e+01,1.329710100749520008e+00,4.464932552694678702e-01
1.065405306715403633e+01,1.304669186837372763e+00,4.380849973899947902e-01
1.045341622653799263e+01,1.280099682222217039e+00,4.298349379102106571e-01
1.025655808717737649e+01,1.255992910481725566e+00,4.217402688115876597e-01
1.006340828381421026e+01,1.232340273587562596e+00,4.137982032261161014e-01
9.873895053532324440e+00,1.209132947828834848e+00,4.060055867715366418e-01
9.687950498380049069e+00,1.186362630902067172e+00,3.983596975559903774e-01
9.505507817275470117e+00,1.164021146440928023e+00,3.908578111261429844e-01
9.326500539208247176e+00,1.142100347557305273e+00,3.834971543886968592e-01
9.150865192600761588e+00,1.120592483815187279e+00,3.762752433215151848e-01
8.978537339508845250e+00,1.099489643869352440e+00,3.691893121167070246e-01
