SGR,ATP,Treatment
0.003494375894355,1.43274732667322,Climited
0.02497638806804,4.42510219168138,Climited
0.071198383936665,7.05117470549222,Climited
0.088249904507076,7.39159700275742,Climited
0.110858828202054,6.96137144942106,Climited
0.140914489649707,7.42874517546943,Climited
0.161161650041713,7.91855831339542,Climited
0.180768010155506,8.47261110910518,Climited
0.210833173386645,8.40522446063126,Climited
0.020826329462103,3.85688089416696,Nlimited
0.050988091599721,3.78588892769822,Nlimited
0.081212069944115,5.99528466643381,Nlimited
0.111708653510304,6.43322127139364,Nlimited
0.141544599196647,6.89388316451275,Nlimited
0.171227460268949,7.66464373035278,Nlimited
0.200796531173594,8.92258994062173,Nlimited
0.22192630108278,9.14741966468739,Nlimited
