"","Time","Rc","B","WP","Sinit"
"1",0.1,0.166666666666667,1.31333333333333,0.0545,52.61
"2",24,5.2,1.82666666666667,0.178166666666667,52.61
"3",48,10.1483333333333,1.935,0.147666666666667,52.61
"4",72,11.7875,2.02,0.311,52.61
"5",96,12.3583333333333,1.24666666666667,0.173666666666667,52.61
"6",120,14.02,2.445,0.0981666666666667,52.61
