"","Time","Rc","B","WP","Sinit"
"1",0.1,0.106666666666667,14.5766666666667,2.27,51.29
"2",24,6.81333333333333,45.54,1.35333333333333,51.29
"3",48,20.9233333333333,11.8666666666667,3.14666666666667,51.29
"4",72,18.01,12.84,5.28666666666667,51.29
"5",96,18.8533333333333,17.39,2.79333333333333,51.29
"6",120,18.305,13.1133333333333,3.41666666666667,51.29
