Study,Soil,Substrate,Clay,pH,Ctot,Ntot,Time,Cmicinit,Sinit,Flush,CO2,S,kec,Ferm,Treatment
"Santruckova et al., 2004",sandy loam,Glucose,20,5.47,1.37,0.15,0,7.69413249018229,26.3762340526799,0,0,26.3762340526799,,0,OX-OX
"Santruckova et al., 2004",sandy loam,Glucose,20,5.47,1.37,0.15,0.333333333333333,7.69413249018229,26.3762340526799,3.68010348725476,1.70049820678914,15.7599687151346,0.376888928319164,0,OX-OX
"Santruckova et al., 2004",sandy loam,Glucose,20,5.47,1.37,0.15,0.666666666666667,7.69413249018229,26.3762340526799,4.56277091245275,3.52349134514819,5.93915538888555,0.313197925317231,2.40684845961699,OX-OX
"Santruckova et al., 2004",sandy loam,Glucose,20,5.47,1.37,0.15,1,7.69413249018229,26.3762340526799,4.81983260464175,5.39824551529388,0,0.264466481219235,2.66704829308909,OX-OX
"Santruckova et al., 2004",sandy loam,Glucose,20,5.47,1.37,0.15,2,7.69413249018229,26.3762340526799,4.428161906393,6.52776419476551,0,0.229388679293737,0.39029975020816,OX-OX
"Santruckova et al., 2004",sandy loam,Glucose,20,5.47,1.37,0.15,3,7.69413249018229,26.3762340526799,4.14456385728253,6.96725543596791,0,0.218842607856539,0.130099916736053,OX-OX
