"S","CO2","kec","Flush","Time"
26.3762340526799,0,NA,NA,0
25.0795347107092,0.0489328580080554,0.463581733591795,0.578441750965937,0.0303030303030303
23.8361815762216,0.130572998042439,0.452093846401571,1.08931085542753,0.0606060606060606
22.6416436209915,0.238465751835792,0.441340718581907,1.54298218454211,0.0909090909090909
21.4925034455588,0.367582857674366,0.431226472275858,1.94748246666248,0.121212121212121
20.3861734818122,0.513913135001646,0.421673527866313,2.30914641207295,0.151515151515152
19.3206882482389,0.674188065426591,0.412618345759098,2.63306528100557,0.181818181818182
18.2945486204715,0.845693433702963,0.404008354675473,2.92340122929888,0.212121212121212
17.306602738265,1.02613747879015,0.395799688069021,3.18361236015609,0.242424242424242
16.3559534125303,1.21355701458913,0.387955488949684,3.41661678521168,0.272727272727273
15.441885233702,1.40624963487467,0.38044461792659,3.62491407173045,0.303030303030303
14.5638067169698,1.60272417332658,0.373240652316167,3.81067628890108,0.333333333333333
13.7212041938575,1.80166409343818,0.366321100419386,3.97581691199119,0.363636363636364
12.9136051233358,2.00190019527723,0.359666773968263,4.12204335341986,0.393939393939394
12.1405491000768,2.20239007258722,0.353261279797572,4.25089717752601,0.424242424242424
11.4015652640828,2.40220249025548,0.34709060206683,4.36378492973814,0.454545454545455
10.6961551300888,2.60050539310956,0.341142752645293,4.46200175318541,0.484848484848485
10.0237800114337,2.79655654568613,0.335407475363202,4.54674939287194,0.515151515151515
9.3838523845017,2.98969609960201,0.329875991879793,4.61914982943749,0.545454545454545
8.77573061958623,3.1793405505607,0.324540780611437,4.6802554981393,0.575757575757576
8.19871657486981,3.36497768174555,0.319395382471216,4.73105685252493,0.606060606060606
7.65205560072049,3.54616219206778,0.314434228664909,4.77248787423681,0.636363636363636
7.13493854261087,3.72251178834377,0.309652486998054,4.8054300172525,0.666666666666667
6.64650534705997,3.89370354579124,0.305045925500312,4.83071499542891,0.696969696969697
6.18584995927314,4.05947048669473,0.300610788564341,4.84912670554335,0.727272727272727
5.75202614795219,4.219598210331,0.296343688046979,4.86140258518829,0.757575757575758
5.34405399547153,4.37392157351985,0.292241506136833,4.86823459669637,0.787878787878788
4.96092679272107,4.52232137757857,0.288301309758019,4.8702700034501,0.818181818181818
4.6016181077846,4.66472104378515,0.284520276121105,4.86811206952787,0.848484848484849
4.26508882846615,4.80108327616842,0.280895629194308,4.86232079001417,0.878787878787879
3.95029402094492,4.9314067263263,0.277424586246072,4.85341371119679,0.909090909090909
3.65618947479204,5.0557226766801,0.274104313859277,4.84186688147286,0.939393939393939
3.38173781655864,5.17409175589281,0.270931893429279,4.828115973996,0.96969696969697
3.1259141265307,5.28660071584853,0.267904295050217,4.81255757738693,1
2.88771095760742,5.39335928707622,0.265018360108635,4.79555068351629,1.03030303030303
2.66614285324563,5.49449715067052,0.262270789339091,4.77741827363877,1.06060606060606
2.46025016132513,5.59016102707367,0.259658139248462,4.75844910823437,1.09090909090909
2.26910231554548,5.68051191209877,0.257176823159223,4.73889959013228,1.12121212121212
2.09180049904458,5.76572247307594,0.254823117610085,4.71899573177188,1.15151515151515
1.92747975443526,5.84597462112693,0.252593172763416,4.69893517989681,1.18181818181818
1.77531059292625,5.92145726184069,0.250483025619769,4.67888924760444,1.21212121212121
1.63450008469421,5.99236423627281,0.248488616524447,4.65900498103466,1.24242424242424
1.50429253857927,6.05889244246713,0.246605807305516,4.63940718864749,1.27272727272727
1.38396977841639,6.12124015366676,0.24483040030073,4.6202004220672,1.3030303030303
1.27285107219962,6.17960552148274,0.243158158309332,4.60147090669269,1.33333333333333
1.17029276553902,6.234185249319,0.241584824568599,4.58328838409454,1.36363636363636
1.07568765219747,6.28517344359152,0.240106142392714,4.56570786949085,1.39393939393939
0.988464138518817,6.33276063589863,0.238717874327247,4.54877132503341,1.42424242424242
0.9080852213767,6.3771329432687,0.237415819902251,4.53250920011218,1.45454545454545
0.83404733654152,6.41847137024584,0.236195832162793,4.51694186349716,1.48484848484848
0.765879096641395,6.45695126210748,0.23505383326499,4.50208095857293,1.51515151515152
0.703139928366305,6.49274184697653,0.233985827966013,4.48793060194543,1.54545454545455
0.645418706516357,6.52600591629859,0.23298791609485,4.47448851995711,1.57575757575758
0.592332279474484,6.55689957357172,0.232056302654948,4.46174702871413,1.60606060606061
0.543524078462761,6.58557208993374,0.231187307215961,4.44969396500749,1.63636363636364
0.498662620416941,6.61216582574572,0.230377370602882,4.43831346991189,1.66666666666667
0.457440141229324,6.63681621646344,0.229623061233299,4.42758672669583,1.6969696969697
0.419571146524211,6.65965181802846,0.228921079166025,4.41749258270991,1.72727272727273
0.384791098860978,6.68079439214977,0.228268259581577,4.40800811754149,1.75757575757576
0.352855063983244,6.70035904702036,0.227661574099636,4.39910911421062,1.78787878787879
0.323536474152955,6.71845439239126,0.227098131915435,4.39077048695647,1.81818181818182
0.296625892291107,6.73518273693033,0.226575179271008,4.38296663514768,1.84848484848485
0.271929867666974,6.75064029406722,0.226090098503127,4.3756717520982,1.87878787878788
0.249269827472096,6.76491741200322,0.225640406055291,4.36886008146015,1.90909090909091
0.228481034619599,6.77809880943062,0.225223750019117,4.36250613376635,1.93939393939394
0.209411604798329,6.7902638221278,0.22483790698061,4.35658486226885,1.96969696969697
0.191921571334522,6.80148665658253,0.22448077829699,4.35107180314781,2
0.175882020348475,6.81183663590972,0.224150386366819,4.34594319368897,2.03030303030303
0.16117426222226,6.82137845540608,0.223844870237491,4.34117605852569,2.06060606060606
0.147689075025469,6.83017242383471,0.223562481334426,4.3367482787317,2.09090909090909
