"CO2","Flush","ATP","Time","Treatment"
0,12.9858725977274,0.0231370695055576,0,"HG"
5.55912102678783,13.6185286107495,0.024264279559117,0.0909090909090909,"HG"
11.3199563148196,14.274026808093,0.0254321877792669,0.181818181818182,"HG"
17.274509093663,14.9514278181333,0.0266391204774347,0.272727272727273,"HG"
23.4099329513555,15.6492330238531,0.0278824075514895,0.363636363636364,"HG"
29.7070205100651,16.3652104692734,0.0291580723013502,0.454545454545455,"HG"
36.1382115951052,17.0961654129035,0.0304604226215866,0.545454545454545,"HG"
42.6649848200055,17.8376398560676,0.0317815156477946,0.636363636363636,"HG"
49.2344921345574,18.5835248812003,0.0331104670555475,0.727272727272727,"HG"
55.7753717557539,19.3255784064391,0.0344325918385443,0.818181818181818,"HG"
62.1929481342942,20.0528725156519,0.0357284196105481,0.909090909090909,"HG"
68.3647611622639,20.7512792003289,0.0369727783461594,1,"HG"
74.1389903220023,21.4032907143883,0.0381344743050323,1.09090909090909,"HG"
79.3411228719533,21.9887918908461,0.0391776680768285,1.18181818181818,"HG"
83.7969464356498,22.4877166495045,0.0400666077096679,1.27272727272727,"HG"
87.3766833001641,22.8851434687639,0.0407747073673056,1.36363636363636,"HG"
90.0472781660817,23.177328414297,0.0412952964415014,1.45454545454545,"HG"
91.8959417357016,23.3744150677336,0.0416464478612358,1.54545454545455,"HG"
93.0971906111382,23.4966190653925,0.0418641800441455,1.63636363636364,"HG"
93.8461743108953,23.5665234410526,0.0419887294254996,1.72727272727273,"HG"
94.3068208005199,23.6030904979244,0.0420538813457953,1.81818181818182,"HG"
94.5947217022331,23.6196886494259,0.0420834544516503,1.90909090909091,"HG"
94.7830719833641,23.6247822025498,0.0420925296902816,2,"HG"
94.9153498088938,23.6233987311694,0.0420900647443762,2.09090909090909,"HG"
95.0164487803811,23.6184167113304,0.0420811882258039,2.18181818181818,"HG"
95.1003304522698,23.6114505083701,0.0420687764667272,2.27272727272727,"HG"
95.1747364327544,23.6033952710316,0.0420544243633331,2.36363636363636,"HG"
95.2439329188028,23.5947442890556,0.0420390108152821,2.45454545454545,"HG"
95.3102631642789,23.5857685053151,0.0420230185644182,2.54545454545455,"HG"
95.3750120404,23.5766164839954,0.0420067123091552,2.63636363636364,"HG"
95.4388834988145,23.567369618816,0.0419902370695626,2.72727272727273,"HG"
95.5022630898002,23.5580724874649,0.0419736722701891,2.81818181818182,"HG"
95.565361958234,23.5487495015319,0.0419570614054276,2.90909090909091,"HG"
95.6282957500159,23.539414030277,0.0419404282954332,3,"HG"
95.6911278143184,23.5300733960073,0.0419237859864395,3.09090909090909,"HG"
95.753892862473,23.5207316097002,0.0419071416248483,3.18181818181818,"HG"
95.8166099193362,23.5113908685404,0.0418904991254073,3.27272727272727,"HG"
95.8792894168613,23.5020523761344,0.0418738606325954,3.36363636363636,"HG"
95.9419370795386,23.4927167917755,0.0418572273210823,3.45454545454545,"HG"
96.0045560497328,23.4833844761917,0.0418405998335812,3.54545454545455,"HG"
96.0671480558345,23.4740556266172,0.0418239785215063,3.63636363636364,"HG"
96.1297140490991,23.4647303504284,0.0418073635761713,3.72727272727273,"HG"
96.1922545583216,23.4554087061546,0.0417907551018583,3.81818181818182,"HG"
96.2547698757819,23.446090724978,0.0417741531541254,3.90909090909091,"HG"
96.3172601692053,23.4367764236801,0.0417575577628721,4,"HG"
96.3797255330577,23.4274658105724,0.0417409689429072,4.09090909090909,"HG"
96.4421660240763,23.4181588896052,0.0417243867012687,4.18181818181818,"HG"
96.5045816785988,23.4088556623707,0.0417078110407938,4.27272727272727,"HG"
96.5669725209186,23.3995561289934,0.0416912419617042,4.36363636363636,"HG"
96.629338567005,23.390260288857,0.0416746794629017,4.45454545454546,"HG"
96.6916798326345,23.3809681409148,0.0416581235425215,4.54545454545455,"HG"
96.7539963291629,23.3716796840714,0.041641574198612,4.63636363636364,"HG"
96.8162880680311,23.3623949170455,0.0416250314288902,4.72727272727273,"HG"
96.8785550597541,23.35311383845,0.0416084952308847,4.81818181818182,"HG"
96.9407973144708,23.3438364468556,0.0415919656020487,4.90909090909091,"HG"
97.003014842202,23.3345627408196,0.0415754425398122,5,"HG"
97.0652076891244,23.3252927135195,0.041558926032019,5.09090909090909,"HG"
97.127375850507,23.3160263656577,0.041542416079921,5.18181818181818,"HG"
97.1895193125632,23.3067636992777,0.0415259126871587,5.27272727272727,"HG"
97.251638075293,23.2975047143793,0.041509415853732,5.36363636363636,"HG"
97.3137321386965,23.2882494109627,0.0414929255796411,5.45454545454546,"HG"
97.3758015829427,23.2789977771168,0.0414764418436641,5.54545454545455,"HG"
97.4378463925522,23.2697498151416,0.0414599646498988,5.63636363636364,"HG"
97.4998665418921,23.2605055288454,0.0414434940051304,5.72727272727273,"HG"
97.5618620309622,23.2512649182282,0.041427029909359,5.81818181818182,"HG"
97.6238328597628,23.2420279832899,0.0414105723625845,5.90909090909091,"HG"
97.6857790095421,23.2327947268228,0.0413941213697818,6,"HG"
97.7477007515483,23.2235651084368,0.0413776768589874,6.09090909090909,"HG"
97.8095978492176,23.2143391633572,0.0413612388929628,6.18181818181818,"HG"
97.8714703116866,23.2051168902236,0.0413448074692841,6.27272727272727,"HG"
97.9333181480921,23.1958982876756,0.0413283825855273,6.36363636363636,"HG"
97.995141434594,23.1866833443586,0.0413119642214621,6.45454545454546,"HG"
98.0569401599755,23.1774720619472,0.0412955523800718,6.54545454545455,"HG"
98.1187143194348,23.1682644411592,0.0412791470626356,6.63636363636364,"HG"
