"Variable","Measured","Predicted"
"S",26.7291087157315,34.0735407656038
"S",45.1424947199022,44.153795675738
"S",35.8615541936065,28.0852948933747
"S",42.8408214693808,40.2426612661637
"S",101.050880450307,83.8590338041662
"S",31.9264354104571,41.501039079922
"S",204.848919296398,193.788428566318
"S",0.262589824707314,1.31418506193022e-13
"S",0.20199217285178,9.15323697219149e-11
"S",2.62589824707314,1.95785061107864e-11
"S",0.424183562988738,1.56102964755713e-13
"S",0.322835036566596,-1.20288572580051e-11
"S",0.242126277424947,4.11874705943727e-13
"CO2",13.7357919789176,11.1056220471277
"CO2",7.05351479998471,8.2505410085156
"CO2",14.3297721726005,17.2308707159397
"CO2",11.7311088252377,12.7035605015185
"CO2",4.82608907367375,9.97745535826357
"CO2",23.165227553634,16.2201546783938
"CO2",4.82608907367375,7.61175125994079
"CO2",2.10071859765851,3.02592050418376
"CO2",2.14111703222887,3.02519382657311
"CO2",1.27255068896621,3.02566830835701
"CO2",2.54510137793243,3.02600246853586
"CO2",4.78199397914271,6.049640060848
"CO2",5.32677810334884,6.05263220694957
"kec",0.41,0.401231803842454
"kec",0.47,0.401235577222963
"kec",0.42,0.401228290728598
"kec",0.49,0.401233820101528
"kec",0.6,0.40124026717922
"kec",0.33,0.401233880091306
"kec",0.43,0.401243075305037
"kec",0.37,0.380051403150001
"kec",0.38,0.382646465065062
"kec",0.3,0.380899393281545
"kec",0.25,0.379792274530404
"kec",0.29,0.384101867496265
"kec",0.38,0.378877813629635
"Flush",11.3598712041859,9.19054222616266
"Flush",8.16722766314019,6.82786532131896
"Flush",12.9933167368139,14.2594080062875
"Flush",12.1023464462896,10.5129837162173
"Flush",5.12307917051521,8.25710164960748
"Flush",11.8796038736585,13.4231855585184
"Flush",3.19264354104571,6.29934814820109
"Flush",2.56530059521761,2.36594198368529
"Flush",2.60569902978796,2.38237514265031
"Flush",1.57553894824389,2.37131706176244
"Flush",1.53514051367353,2.36429769539464
"Flush",3.87402043879916,4.78316023983744
"Flush",4.84252554849895,4.71697226412226
