"CO2","kec","Flush","Time","Substrate"
0,NA,NA,0,"Glucose"
15.2538338402977,0.346966192358474,35.966051723525,0.494949494949495,"Glucose"
19.2376016746385,0.307615085126715,30.6615053021313,0.98989898989899,"Glucose"
20.9727557590722,0.290400283957442,28.4417352542744,1.48484848484848,"Glucose"
21.7382602571185,0.283531268460046,27.5519435454981,1.97979797979798,"Glucose"
22.1202102645601,0.28089180653976,27.1881695688802,2.47474747474747,"Glucose"
22.3554253253135,0.279892321811166,27.0255923828919,2.96969696969697,"Glucose"
22.535272784474,0.279515941133714,26.9391080398706,3.46464646464646,"Glucose"
22.7030640781098,0.279374468628557,26.8933515361078,3.95959595959596,"Glucose"
22.8708278841504,0.27932135311106,26.8691350653212,4.45454545454546,"Glucose"
23.038537290425,0.279301439500773,26.8530004747241,4.94949494949495,"Glucose"
23.2061822159403,0.279293972220206,26.8398955656379,5.44444444444444,"Glucose"
23.373758907057,0.279291174975111,26.8279296903546,5.93939393939394,"Glucose"
23.5412659726838,0.27929012540171,26.8163928362213,6.43434343434343,"Glucose"
23.7087029140921,0.279289736066304,26.805020935285,6.92929292929293,"Glucose"
23.8760695559185,0.279289584818154,26.7937115285359,7.42424242424242,"Glucose"
24.0433658577584,0.279289527527716,26.7824296425692,7.91919191919192,"Glucose"
24.210591822737,0.279289509665723,26.7711620482354,8.41414141414142,"Glucose"
24.3777474687485,0.279289501092049,26.759901441738,8.90909090909091,"Glucose"
24.5448328303815,0.279289494756921,26.7486461143139,9.4040404040404,"Glucose"
24.7118479123341,0.27928949274526,26.7373965655723,9.8989898989899,"Glucose"
24.8787927531877,0.279289493238007,26.7261523525673,10.3939393939394,"Glucose"
25.0456673853126,0.279289493620989,26.7149128415124,10.8888888888889,"Glucose"
25.2124718428434,0.279289492783947,26.7036777631342,11.3838383838384,"Glucose"
25.379206155238,0.279289491642556,26.6924473366873,11.8787878787879,"Glucose"
25.5458703480368,0.279289491394538,26.6812218486105,12.3737373737374,"Glucose"
25.7124644503388,0.279289491949085,26.6700012745361,12.8686868686869,"Glucose"
25.8789884936222,0.279289492204739,26.658785347302,13.3636363636364,"Glucose"
26.0454425068858,0.279289491983428,26.647574022108,13.8585858585859,"Glucose"
26.2118265180881,0.279289491686963,26.6363673937056,14.3535353535354,"Glucose"
26.3781405586336,0.279289491161556,26.6251654232519,14.8484848484848,"Glucose"
26.5443846542584,0.279289491163046,26.613968290553,15.3434343434343,"Glucose"
26.7105588380864,0.279289491191133,26.6027758730726,15.8383838383838,"Glucose"
26.8766631381387,0.279289491495787,26.5915882287932,16.3333333333333,"Glucose"
27.0426975811764,0.279289491758143,26.5804052792631,16.8282828282828,"Glucose"
27.2086621964338,0.27928949190344,26.5692270046067,17.3232323232323,"Glucose"
27.3745570143685,0.279289491942831,26.5580534056446,17.8181818181818,"Glucose"
27.5403820627298,0.279289492291041,26.5468845790824,18.3131313131313,"Glucose"
27.7061373722695,0.279289492664868,26.5357204554266,18.8080808080808,"Glucose"
27.871822973249,0.279289492938769,26.5245610028192,19.3030303030303,"Glucose"
28.0374388957064,0.279289493059088,26.5134062065523,19.7979797979798,"Glucose"
28.2029851696796,0.279289492972174,26.5022560519438,20.2929292929293,"Glucose"
28.3684618252065,0.27928949262437,26.4911105243374,20.7878787878788,"Glucose"
28.5338688880317,0.279289492458804,26.4799697275937,21.2828282828283,"Glucose"
28.6992063878635,0.279289492459963,26.4688336560216,21.7777777777778,"Glucose"
28.8644743559831,0.279289492430345,26.4577022605736,22.2727272727273,"Glucose"
29.0296728219983,0.279289492366057,26.4465755384069,22.7676767676768,"Glucose"
29.1948018155171,0.27928949226321,26.4354534866803,23.2626262626263,"Glucose"
29.3598613661472,0.279289492117911,26.424336102555,23.7575757575758,"Glucose"
29.5248515011821,0.279289491985199,26.4132233968273,24.2525252525253,"Glucose"
29.6897722483262,0.279289491909642,26.4021153778467,24.7474747474747,"Glucose"
29.854623638817,0.279289491845859,26.3910120331517,25.2424242424242,"Glucose"
30.0194057019251,0.279289491798551,26.3799133618721,25.7373737373737,"Glucose"
30.1841184669206,0.279289491772418,26.3688193631349,26.2323232323232,"Glucose"
30.348761963074,0.279289491772163,26.3577300360655,26.7272727272727,"Glucose"
30.5133362192484,0.279289491784844,26.3466453756002,27.2222222222222,"Glucose"
30.6778412636811,0.279289491770436,26.3355653702593,27.7171717171717,"Glucose"
30.8422771263158,0.27928949176279,26.3244900260928,28.2121212121212,"Glucose"
31.0066438363203,0.279289491762166,26.3134193411765,28.7070707070707,"Glucose"
31.1709414228623,0.279289491768823,26.3023533135861,29.2020202020202,"Glucose"
31.3351699151098,0.279289491783023,26.2912919413971,29.6969696969697,"Glucose"
31.4993293417738,0.27928949180234,26.2802352221491,30.1919191919192,"Glucose"
31.663419727786,0.279289491802148,26.2691831489516,30.6868686868687,"Glucose"
31.8274411058158,0.279289491803279,26.2581357239927,31.1818181818182,"Glucose"
31.991393504942,0.27928949180547,26.2470929452458,31.6767676767677,"Glucose"
32.1552769542433,0.279289491808457,26.2360548106843,32.1717171717172,"Glucose"
32.3190914827986,0.279289491811977,26.2250213182816,32.6666666666667,"Glucose"
32.4828371196865,0.279289491815767,26.2139924660114,33.1616161616162,"Glucose"
32.6465138939858,0.279289491819564,26.2029682518475,33.6565656565657,"Glucose"
32.8101218347753,0.279289491823105,26.1919486737638,34.1515151515152,"Glucose"
32.9736609711338,0.279289491826125,26.1809337297344,34.6464646464647,"Glucose"
33.1371313321399,0.279289491828363,26.1699234177332,35.1414141414141,"Glucose"
