"S","Flush","ATP","Time"
133.217877839206,5.69525395503747,0.0114,0
125.935444963245,8.78463143428873,0.0114652153412084,0.0808080808080808
118.825659586349,11.1031718512022,0.0117032589874689,0.161616161616162
111.822304308064,12.9006259929067,0.0120512873962346,0.242424242424242
104.894809550991,14.3266763927864,0.0124776573530498,0.323232323232323
98.035307975204,15.4743570716712,0.0129614722741845,0.404040404040404
91.2514752506014,16.403754419263,0.0134878290689427,0.484848484848485
84.561983170719,17.1547003205505,0.014045351020931,0.565656565656566
77.9932574278384,17.7541403576962,0.0146248219458896,0.646464646464647
71.5769011876383,18.2207242487737,0.0152183966909743,0.727272727272727
65.3474639389149,18.5678441164232,0.0158191364415556,0.808080808080808
59.3404052377017,18.8057410892872,0.0164207404434399,0.888888888888889
53.5902031256336,18.9430042631923,0.0170174038658329,0.96969696969697
48.1286201979483,18.9876340238299,0.0176037601558619,1.05050505050505
42.9831787805798,18.9477626821781,0.0181748804479682,1.13131313131313
38.1759147791934,18.8320865901173,0.0187263097101408,1.21212121212121
33.7224788709166,18.650048661908,0.0192541229531248,1.29292929292929
29.6316357706135,18.4118090505216,0.0197549870836977,1.37373737373737
25.9051814584392,18.128047618489,0.0202262160219791,1.45454545454545
22.5382604619608,17.8096491419595,0.0206658091365366,1.53535353535354
19.5200284608593,17.4673268854333,0.0210724660406597,1.61616161616162
16.8345763310744,17.1112392119824,0.0214455742214006,1.6969696969697
14.4620151414349,16.7506466547594,0.0217851694840831,1.77777777777778
12.379619793487,16.3936445130118,0.0220918723032644,1.85858585858586
10.5629397596329,16.0469907361341,0.022366805544771,1.93939393939394
8.98680550372431,15.7160335958541,0.0226115003822507,2.02020202020202
7.62618332963385,15.4047309124847,0.0228277975367927,2.1010101010101
6.45685556116327,15.1157437236346,0.023017750387717,2.18181818181818
5.45592322142152,14.8505829035877,0.0231835352850354,2.26262626262626
4.60214385678396,14.6097867327462,0.0233273728086448,2.34343434343434
3.87612636090881,14.3931097472073,0.02345146216309,2.42424242424242
3.26040946899413,14.1997072460635,0.0235579294295959,2.50505050505051
2.73945077932953,14.0283044951592,0.023648789247647,2.58585858585859
2.29955142311804,13.8773439213014,0.0237259187394682,2.66666666666667
1.92873868139089,13.7451073636582,0.0237910419316825,2.74747474747475
1.61662227091389,13.6298133948025,0.0238457228518327,2.82828282828283
1.35423996752209,13.5296910231994,0.0238913653706628,2.90909090909091
1.13390093050648,13.4430330592098,0.0239292180290914,2.98989898989899
0.949034016836284,13.3682321116068,0.0239603823741779,3.07070707070707
0.794045462610596,13.3038026689869,0.0239858235157524,3.15151515151515
0.664188313898645,13.2483924443403,0.0240063818938731,3.23232323232323
0.555444818735452,13.2007855799847,0.0240227855180525,3.31313131313131
0.464421929061161,13.1599001676598,0.0240356620879027,3.39393939393939
0.388259507769772,13.1247818445937,0.0240455506271036,3.47474747474747
0.324550390806787,13.0945949746826,0.0240529123730939,3.55555555555556
0.271271307418871,13.0686124812644,0.0240581407839377,3.63636363636364
0.226723518799238,13.0462051774335,0.0240615705886179,3.71717171717172
0.189482049224026,13.0268311332288,0.0240634858780115,3.7979797979798
0.158352503482874,13.0100254238023,0.0240641272731949,3.87878787878788
0.132335040856582,12.9942235525598,0.0240615371213187,3.95959595959596
0.110594808341583,12.9778350913004,0.0240535608658588,4.04040404040404
0.0924319032074716,12.9609633185792,0.0240410588490198,4.12121212121212
0.0772592933015481,12.943698569893,0.0240247685350617,4.2020202020202
0.0645852489795656,12.9261147512114,0.0240053112998879,4.28282828282828
0.0539982665013188,12.9082724020515,0.0239832099425842,4.36363636363636
0.0451542509153161,12.8902211795679,0.0239589037515949,4.44444444444444
0.037765626412109,12.872001877192,0.0239327614520195,4.52525252525253
0.0315922072827913,12.8536480506552,0.0239050921900323,4.60606060606061
0.0264334173727505,12.8351873501121,0.0238761549832258,4.68686868686869
0.0221218143729588,12.8166425902522,0.0238461666766689,4.76767676767677
0.0185176385773752,12.798032623212,0.023815308697057,4.84848484848485
0.0155042424399274,12.7793730486922,0.0237837327638847,4.92929292929293
0.0129842843785717,12.7606767893484,0.0237515656857101,5.01010101010101
0.0108765178502128,12.7419545656726,0.0237189134264718,5.09090909090909
0.00911313137911955,12.723215279924,0.0236858645013194,5.17171717171717
0.00763752344459025,12.704466331134,0.0236524928320906,5.25252525252525
0.00640244228502324,12.6857138749689,0.0236188601421335,5.33333333333333
0.0053684360885788,12.6669630365108,0.0235850179618445,5.41414141414141
0.00450256068546808,12.6482180852136,0.0235510093077018,5.4949494949495
0.0037772990143073,12.6294825801079,0.0235168700884829,5.57575757575758
0.00316966950982721,12.6107594882739,0.0234826302688479,5.65656565656566
0.00266046514584772,12.5920512852837,0.0234483148651408,5.73737373737374
0.00223363532664093,12.5733600360837,0.0234139447553526,5.81818181818182
0.00187576425518344,12.5546874631196,0.0233795373630732,5.8989898989899
0.00157563560976501,12.5360350029744,0.0233451072287928,5.97979797979798
0.00132386857221848,12.5174038533981,0.0233106664886335,6.06060606060606
0.00111261650224879,12.4987950123695,0.023276225269998,6.14141414141414
0.000935314468126379,12.4802093107419,0.0232417920232288,6.22222222222222
0.000786467790528191,12.4616474395545,0.0232073737995813,6.3030303030303
0.000661479166053449,12.4431099721953,0.0231729764786466,6.38383838383838
0.000556497027339416,12.4245973842465,0.0231386049671056,6.46464646464647
0.000468296208168796,12.4061100688354,0.0231042633553375,6.54545454545455
0.000394175627988154,12.3876483499129,0.0230699550515452,6.62626262626263
0.000331871621951193,12.3692124934585,0.0230356828956992,6.70707070707071
