"S","CO2","DNA","Flush","Time"
49.9583680266445,0,1.05634021338326,7.96507305593267,0
46.8068516972222,1.51244572004241,1.09430085257955,8.25130590082259,0.0841750841750841
43.7139931218893,2.99967045029574,1.13148710113138,8.53169964389785,0.168350168350168
40.6951533712422,4.45452455810801,1.16770878331888,8.80482031200927,0.252525252525252
37.7648744702464,5.87022784252072,1.20278613641617,9.06931244862291,0.336700336700337
34.9365451664826,7.24052477090638,1.23655395619251,9.32393037194959,0.420875420875421
32.2220943632584,8.55982712294098,1.26886539334341,9.56756680099815,0.505050505050505
29.6317319874225,9.8233348725272,1.29959515534679,9.7992769983828,0.589225589225589
27.1737504981657,11.0271291628962,1.32864195020061,10.0182971967244,0.673400673400673
24.8543972615897,12.1682326045688,1.35593004571734,10.2240563561261,0.757575757575757
22.6778236101617,13.2446341576573,1.38140987302917,10.4161807147561,0.841750841750841
20.6461097236129,14.2552789447588,1.40505768628186,10.5944912228522,0.925925925925925
18.7593631705572,15.2000239742973,1.42687430586613,10.7589940663685,1.01010101010101
17.0158724947084,16.0795682662091,1.44688317966198,10.9098660482657,1.09427609427609
15.4123160706305,16.8953573612782,1.46512775751969,11.0474347914322,1.17845117845118
13.9439972884479,17.6494754602492,1.48166854245842,11.1721565039735,1.26262626262626
12.605101713592,18.344527268652,1.49657987134031,11.2845917046793,1.34680134680135
11.3889539559969,18.9835197950657,1.50994670335215,11.3853810073602,1.43097643097643
10.2882672344923,19.5697473768894,1.52186150291655,11.4752216172081,1.51515151515151
9.29537305417704,20.1066857476146,1.53242137378376,11.5548457211217,1.5993265993266
8.40242559311738,20.5978976661852,1.54172551107564,11.6250012754719,1.68350168350168
7.6015766473304,21.0469520439306,1.54987302259358,11.6864355782109,1.76767676767677
6.88511952524566,21.4573573337565,1.55696113894028,11.7398817727372,1.85185185185185
6.24560277487902,21.8325087917056,1.56308380102943,11.7860481973597,1.93602693602694
5.675915505214,22.1756488153211,1.56833060261258,11.8256104116826,2.02020202020202
5.16934739441184,22.4898389452001,1.57278604893768,11.8592056067027,2.1043771043771
4.71962682507131,22.7779419535101,1.57652908836926,11.8874290731069,2.18855218855219
4.32094075742781,23.042612361815,1.57963287173387,11.9108323866754,2.27272727272727
3.96793993645189,23.2862937355785,1.58216469438325,11.9299229714241,2.35690235690236
3.65573273769178,23.5112212349951,1.58418607964694,11.9451647288574,2.44107744107744
3.37987017982743,23.7194282578951,1.58575297209057,11.9569794951857,2.52525252525252
3.13632508835429,23.9127558008121,1.58691600328102,11.9657490452614,2.60942760942761
2.92146716211877,24.0928637299241,1.58772080820848,11.9718174784819,2.69360269360269
2.73203560927039,24.2612431930092,1.58820837157472,11.9754938298906,2.77777777777778
2.56511072735008,24.4192295380115,1.5884153868021,11.9770547771961,2.86195286195286
2.41808533955059,24.5680153162806,1.58837461641242,11.9767473581201,2.94612794612795
2.28863687120273,24.7086630079313,1.58811524401404,11.9747916244694,3.03030303030303
2.17470055134632,24.8421172443189,1.58766321187883,11.9713831875522,3.11447811447811
2.07444407800684,24.969216370149,1.58704153991398,11.9666956233052,3.1986531986532
1.98624398510884,25.0907032342164,1.58627062308884,11.9608827149689,3.28282828282828
1.90866375812649,25.2072351857514,1.5853685067594,11.9540805291032,3.36700336700337
1.8404337855792,25.3193932350359,1.58435113883024,11.9464093169522,3.45117845117845
1.7804330946501,25.4276904010154,1.58323259942544,11.9379752462216,3.53535353535353
1.72767279700652,25.5325792789511,1.58202530901528,11.9288719704069,3.61952861952862
1.68128116572328,25.6344588636448,1.58074021600763,11.9191820432793,3.7037037037037
1.64049024066309,25.7336806747389,1.57938696510437,11.9089781883366,3.78787878787879
1.60462383565477,25.8305542416829,1.57797404802235,11.8983244352771,3.87205387205387
1.57308683832109,25.9253519980266,1.57650893795673,11.887277133887,3.95622895622895
1.54535568792319,26.0183136372942,1.57499820923131,11.875885856235,4.04040404040404
1.52096991548144,26.1096499831551,1.57344764359552,11.8641941981776,4.12457912457912
1.49952464647051,26.199546419569,1.57186232441922,11.8522404896128,4.20875420875421
1.48066395793489,26.2881659300838,1.57024672015132,11.840058423778,4.29292929292929
1.46407501697686,26.3756517798286,1.5686047579569,11.827677612494,4.37710437710438
1.44948289618321,26.4621298878014,1.56693988884939,11.815124077277,4.46127946127946
1.43664599981442,26.5477109197865,1.56525514514771,11.8024206825804,4.54545454545454
1.42535204288056,26.6324921283305,1.56355319098665,11.7895875166563,4.62962962962963
1.41541449629892,26.7165589794499,1.56183636697228,11.7766422282678,4.71380471380471
1.4066694660291,26.799986580793,1.56010672938465,11.7636003222878,4.7979797979798
1.39897294870977,26.8828409375197,1.55836608465087,11.7504754196349,4.88215488215488
1.39219840977021,26.965180060615,1.55661601976731,11.7372794866641,4.96632996632996
1.38623466390682,27.0470549368484,1.55485792892334,11.7240230359168,5.05050505050505
1.38098400807112,27.1285103831761,1.55309303695326,11.710715302954,5.13468013468013
1.37636057818668,27.2095857987596,1.55132241997779,11.697364401999,5.21885521885522
1.37228891312818,27.2903158221389,1.54954702344213,11.6839774619482,5.3030303030303
1.36870268666622,27.3707309115341,1.54776767804421,11.6705607464747,5.38720538720538
1.36554359583636,27.4508578535641,1.54598511369804,11.6571197593153,5.47138047138047
1.36276038799682,27.530720208495,1.54419997175508,11.6436593364223,5.55555555555555
1.36030800126284,27.6103387036009,1.54241281580138,11.6301837273778,5.63973063973064
1.35814681319471,27.6897315769846,1.54062414109511,11.6166966665538,5.72390572390572
1.35624198128868,27.7689148793841,1.53883438285086,11.6032014355787,5.80808080808081
