"CO2","DNA","Time","Treatment"
0,2.4848630240651,0,"Rhizosphere"
0.767713623074077,2.51081521695713,0.0164293537787514,"Rhizosphere"
1.54344358227004,2.53703839698037,0.0328587075575028,"Rhizosphere"
2.32727353666908,2.56353539213176,0.0492880613362542,"Rhizosphere"
3.11928800077788,2.59030905932303,0.0657174151150057,"Rhizosphere"
3.91957236870975,2.61736228519794,0.0821467688937571,"Rhizosphere"
4.72821292241053,2.64469798641027,0.0985761226725085,"Rhizosphere"
5.54529684111068,2.6723191099432,0.11500547645126,"Rhizosphere"
6.37091221038803,2.70022863341548,0.131434830230011,"Rhizosphere"
7.20514803150914,2.72842956539712,0.147864184008763,"Rhizosphere"
8.04809423071903,2.75692494572322,0.164293537787514,"Rhizosphere"
8.89984166919589,2.78571784583024,0.180722891566266,"Rhizosphere"
9.76048215305134,2.8148113690938,0.197152245345017,"Rhizosphere"
10.6301084408421,2.84420865108271,0.213581599123768,"Rhizosphere"
11.5088142538381,2.87391285990575,0.23001095290252,"Rhizosphere"
12.3966942856183,2.9039271965359,0.246440306681271,"Rhizosphere"
13.2938442117111,2.93425489513602,0.262869660460023,"Rhizosphere"
14.2003606993222,2.96489922338746,0.279299014238774,"Rhizosphere"
15.1163414174151,2.99586348283057,0.295728368017525,"Rhizosphere"
16.0418850540962,3.02715100945048,0.312157721796277,"Rhizosphere"
16.9770913194281,3.05876517377357,0.328587075575028,"Rhizosphere"
17.9220609542811,3.09070938116671,0.34501642935378,"Rhizosphere"
18.8768957430772,3.12298707226726,0.361445783132531,"Rhizosphere"
19.8416985242899,3.15560172333764,0.377875136911283,"Rhizosphere"
20.8165732010438,3.18855684662333,0.394304490690034,"Rhizosphere"
21.8016247518146,3.22185599071425,0.410733844468785,"Rhizosphere"
22.796959239537,3.25550274085114,0.427163198247537,"Rhizosphere"
23.8026838190063,3.28950071917319,0.443592552026288,"Rhizosphere"
24.8189067550319,3.32385358533589,0.46002190580504,"Rhizosphere"
25.8457374306428,3.35856503678617,0.476451259583791,"Rhizosphere"
26.8832863578574,3.39363880912576,0.492880613362542,"Rhizosphere"
27.9316651888129,3.42907867648687,0.509309967141294,"Rhizosphere"
28.9909867269858,3.46488845191095,0.525739320920045,"Rhizosphere"
30.0613649382794,3.5010719877228,0.542168674698797,"Rhizosphere"
31.142914949121,3.53763317545857,0.558598028477548,"Rhizosphere"
32.2357530683521,3.57457594661067,0.5750273822563,"Rhizosphere"
33.3399968040579,3.61190427319881,0.591456736035051,"Rhizosphere"
34.4557648694872,3.64962216796644,0.607886089813802,"Rhizosphere"
35.5831771943377,3.68773368476128,0.624315443592554,"Rhizosphere"
36.7223549361064,3.7262429189181,0.640744797371305,"Rhizosphere"
37.8734204915028,3.7651540076435,0.657174151150057,"Rhizosphere"
39.0364975018698,3.80447113019334,0.673603504928808,"Rhizosphere"
40.2117108455452,3.84419850759831,0.690032858707559,"Rhizosphere"
41.3991866830222,3.88434040421597,0.706462212486311,"Rhizosphere"
42.5990524567275,3.92490112771279,0.722891566265062,"Rhizosphere"
43.8114369000758,3.96588502936688,0.739320920043814,"Rhizosphere"
45.0364700484692,4.00729650443803,0.755750273822565,"Rhizosphere"
46.2742832503156,4.04913999253825,0.772179627601317,"Rhizosphere"
47.525009177827,4.09141997799471,0.788608981380068,"Rhizosphere"
48.7887817853318,4.13414098839996,0.805038335158819,"Rhizosphere"
50.0657363498146,4.17730759600178,0.821467688937571,"Rhizosphere"
51.3560095190082,4.22092441935368,0.837897042716322,"Rhizosphere"
52.659739293317,4.26499612268035,0.854326396495074,"Rhizosphere"
53.9770650348695,4.3095274161798,0.870755750273825,"Rhizosphere"
55.3081274764737,4.35452305632214,0.887185104052576,"Rhizosphere"
56.6530687304738,4.39998784614485,0.903614457831328,"Rhizosphere"
58.0120322593018,4.44592663422604,0.920043811610079,"Rhizosphere"
59.3851627066889,4.49234430884908,0.936473165388831,"Rhizosphere"
60.7726061891367,4.53924580805057,0.952902519167582,"Rhizosphere"
62.1745102245666,4.5866361171474,0.969331872946333,"Rhizosphere"
63.5910237146235,4.63452026811541,0.985761226725085,"Rhizosphere"
65.022296950174,4.68290333976855,1.00219058050384,"Rhizosphere"
66.4684816168055,4.731790457938,1.01861993428259,"Rhizosphere"
67.9297306320746,4.7811867898435,1.03504928806134,"Rhizosphere"
69.4061978520183,4.83109753395187,1.05147864184009,"Rhizosphere"
70.8980385904492,4.88152793789167,1.06790799561884,"Rhizosphere"
72.4054094142774,4.93248329137735,1.08433734939759,"Rhizosphere"
73.9284681026395,4.98396892478768,1.10076670317634,"Rhizosphere"
75.4673732983707,5.03599019712382,1.1171960569551,"Rhizosphere"
77.0222846760575,5.08855250179994,1.13362541073385,"Rhizosphere"
78.5933629777895,5.14166126786666,1.1500547645126,"Rhizosphere"
80.1807697723273,5.19532195168705,1.16648411829135,"Rhizosphere"
81.7846666924135,5.24954001059868,1.1829134720701,"Rhizosphere"
83.405215886086,5.30432091848176,1.19934282584885,"Rhizosphere"
85.0425795595264,5.35967014996891,1.2157721796276,"Rhizosphere"
86.6969191243072,5.41559315100095,1.23220153340636,"Rhizosphere"
88.3683956130392,5.47209535316166,1.24863088718511,"Rhizosphere"
90.0571685121229,5.52918213337272,1.26506024096386,"Rhizosphere"
91.7633937318162,5.58685874380437,1.28148959474261,"Rhizosphere"
93.4872234001084,5.64513030475036,1.29791894852136,"Rhizosphere"
95.2288035259886,5.70400172394745,1.31434830230011,"Rhizosphere"
96.9882720765546,5.7634776301717,1.33077765607886,"Rhizosphere"
