"CO2","W","ATP","Time","Treatment"
0,621.061473363321,0.001904644943467,0,"A"
1.13949323784733,629.287111062729,0.00192987097973379,0.0357744107744108,"A"
2.29285537660305,637.612730821237,0.00195540363673213,0.0715488215488216,"A"
3.46020500023525,646.039181597743,0.00198124551801311,0.107323232323232,"A"
4.64165920159062,654.567301257789,0.00200739919310718,0.143097643097643,"A"
5.83733342117164,663.197915392079,0.00203386719390084,0.178872053872054,"A"
7.04734127059306,671.931836025229,0.00206065201067668,0.214646464646465,"A"
8.27179433321217,680.76986015766,0.00208775608764174,0.250420875420876,"A"
9.51080195836584,689.712768260832,0.00211518181831274,0.286195286195286,"A"
10.7644710413997,698.761322668696,0.00214293154058306,0.321969696969697,"A"
12.0329057841355,707.916265826243,0.00217100753135145,0.357744107744108,"A"
13.3162074332623,717.178318376812,0.00219941200065628,0.393518518518519,"A"
14.6144740626768,726.548177570407,0.00222814708679427,0.42929292929293,"A"
15.9278002834939,736.026515143671,0.0022572148498188,0.46506734006734,"A"
17.2562768528136,745.613974460245,0.00228661726277016,0.500841750841751,"A"
18.5999904343432,755.31116876048,0.0023163562063078,0.536616161616162,"A"
19.9590232398222,765.11867854039,0.00234643346067225,0.572390572390573,"A"
21.3334526728536,775.037048948197,0.00237685069770092,0.608164983164984,"A"
22.7233509238784,785.066786823966,0.00240760947174937,0.643939393939394,"A"
24.1287845572246,795.208357681196,0.00243871121043464,0.679713804713805,"A"
25.5498140774001,805.462182536895,0.0024701572049138,0.715488215488216,"A"
26.9864934738612,815.828634584475,0.00250194859968056,0.751262626262627,"A"
28.438869665583,826.308035134497,0.00253408638011649,0.787037037037038,"A"
29.9069820054316,836.900649992393,0.0025665713613824,0.822811447811449,"A"
31.3908617224605,847.606685382641,0.00259940417591875,0.858585858585859,"A"
32.8905312345129,858.426282925287,0.0026325852580399,0.89436026936027,"A"
34.4060035726512,869.359515429674,0.00266611483103444,0.930134680134681,"A"
35.9372816641596,880.406381654754,0.00269999289109637,0.965909090909092,"A"
37.4843575110772,891.566800306015,0.00273421918891514,1.0016835016835,"A"
39.047211502161,902.840605007539,0.00276879321425616,1.03745791245791,"A"
40.6258114778425,914.227537469048,0.00280371417500577,1.07323232323232,"A"
42.2201117838523,925.727240570194,0.00283898097596245,1.10900673400673,"A"
43.8300524138786,937.339252095581,0.00287459219962367,1.14478114478115,"A"
45.455557919138,949.062996766435,0.00291054608174892,1.18055555555556,"A"
47.0965361137402,960.89777677988,0.00294684048234599,1.21632996632997,"A"
48.7528770202061,972.84276410354,0.00298347286204035,1.25210437710438,"A"
50.4244515382317,984.896990747564,0.00302044025224186,1.28787878787879,"A"
52.1111100517659,997.059338585845,0.00305773922392887,1.3236531986532,"A"
53.8126809299551,1009.32852840175,0.00309536585405416,1.35942760942761,"A"
55.5289689179382,1021.70310812896,0.00313331568948237,1.39520202020202,"A"
57.2597534083503,1034.18144022031,0.00317158370825352,1.43097643097643,"A"
59.0047865618977,1046.76168791361,0.00321016427746328,1.46675084175084,"A"
60.7637913717975,1059.44180108772,0.00324905110988722,1.50252525252525,"A"
62.5364595277308,1072.2195006531,0.0032882372161104,1.53829966329966,"A"
64.32244900426,1085.092260929,0.00332771485048239,1.57407407407408,"A"
66.121381687283,1098.05729229843,0.00336747545792427,1.60984848484849,"A"
67.932840761165,1111.11152211419,0.00340750961537216,1.6456228956229,"A"
69.7563677700242,1124.25157322383,0.00344780696591838,1.68139730639731,"A"
71.5914595109762,1137.47374126651,0.00348835614918647,1.71717171717172,"A"
73.4375649038514,1150.77397179775,0.00352914473117833,1.75294612794613,"A"
75.2940814228867,1164.14783421352,0.00357015912430577,1.78872053872054,"A"
77.1603511748557,1177.59049309187,0.00361138449950211,1.82449494949495,"A"
79.0356570206347,1191.09667984963,0.00365280469930034,1.86026936026936,"A"
80.9192182495488,1204.66066113254,0.00369440214089314,1.89604377104377,"A"
82.8101859032998,1218.27620464797,0.00373615771135024,1.93181818181818,"A"
84.7076378810202,1231.93654339535,0.00377805065792178,1.96759259259259,"A"
86.6105737454738,1245.63433771232,0.00382005847164301,2.00336700336701,"A"
88.5179092542367,1259.3616353186,0.00386215676479855,2.03914141414142,"A"
90.4284706995161,1273.1098299673,0.00390431914411607,2.07491582491583,"A"
92.3409884429792,1286.86961419436,0.00394651706586018,2.11069023569024,"A"
94.2540904631059,1300.63093217721,0.00398871969126139,2.14646464646465,"A"
96.1662959336509,1314.38293283135,0.00403089374267471,2.18223905723906,"A"
98.0760095506859,1328.11392840879,0.00407300337661114,2.21801346801347,"A"
99.9815135231011,1341.81133597185,0.00411501000425187,2.25378787878788,"A"
101.880961148398,1355.46163049767,0.00415687214763143,2.28956228956229,"A"
103.772370599632,1369.05029952763,0.00419854530055813,2.3253367003367,"A"
105.653617405639,1382.56178827702,0.00423998176027906,2.36111111111111,"A"
