"S","CO2","DNA","Flush","Time"
49.9583680266445,0,1.05634021338326,5.12681379749086,0
46.4422052085959,0.308109101221834,1.0627782529225,8.14165599074877,0.0841750841750841
43.0894705388334,1.17870112429854,1.08360799475407,9.99883311306684,0.168350168350168
39.8704559992713,2.37133194047233,1.11234617048948,11.1630498750091,0.252525252525252
36.7750810056489,3.74401706810948,1.14549670069655,11.8912337405655,0.336700336700337
33.8033339357321,5.21003879368624,1.18092456237146,12.3341528354572,0.420875420875421
30.9601519219519,6.71341074024762,1.21725166066021,12.5841919185929,0.505050505050505
28.2524407239096,8.21645747149208,1.25355096690233,12.6999267187383,0.589225589225589
25.6872628374786,9.69303652330779,1.28917958458967,12.7197209459339,0.673400673400673
23.27072593947,11.1246411468068,1.32368275040604,12.669614392506,0.757575757575757
21.0073254135374,12.4980760046126,1.35673657068146,12.5680222800013,0.841750841750841
18.8995998857416,13.8040290616379,1.38811282891033,12.4285633915001,0.925925925925925
16.9480112565633,15.0361647458686,1.41765663191903,12.2617573599908,1.01010101010101
15.1509878770071,16.1905209891853,1.44527154148065,12.0760304207302,1.09427609427609
13.5050840854953,17.2650811469856,1.47090901480067,11.8783006933192,1.17845117845118
12.0052179702804,18.2594446679075,1.49456027930968,11.67431346217,1.26262626262626
10.6449553060622,19.1745528727435,1.51624956717952,11.468834447254,1.34680134680135
9.41681300432049,20.012446624819,1.53602813783566,11.2657679475834,1.43097643097643
8.31256052123595,20.7760449501852,1.55396881894102,11.0682405935111,1.51515151515151
7.32350290829513,21.4689410797354,1.57016097881104,10.8786730520673,1.5993265993266
6.44073421463452,22.0952159917772,1.58470593194966,10.6988509100448,1.68350168350168
5.65535455417407,22.6592710712462,1.59771281721427,10.5299986085191,1.76767676767677
4.95864790079987,23.1656816545591,1.6092949918608,10.3728562514239,1.85185185185185
4.34222090977472,23.6190725569124,1.61956696815667,10.2277571498644,1.93602693602694
3.79810567841819,24.0240154778011,1.62864188968652,10.0947034108134,2.02020202020202
3.31882885536402,24.3849484766966,1.63662955183863,9.97343660010506,2.1043771043771
2.89745441173987,24.7061143762029,1.64363488878018,9.86350210098767,2.18855218855219
2.52760238026638,24.9915175486565,1.64975691339795,9.76430531310738,2.27272727272727
2.20344978071852,25.244895821905,1.65508802961926,9.67515945127496,2.35690235690236
1.91971775400871,25.4697051627443,1.65971365934062,9.59532492544142,2.44107744107744
1.67164859052454,25.6691147370122,1.66371212475155,9.52404077694024,2.52525252525252
1.45497606172559,25.8460099474743,1.66715472691127,9.46054895333387,2.60942760942761
1.26589146579199,26.0030015287061,1.67010597324314,9.40411234074018,2.69360269360269
1.1010075792275,26.1424388752102,1.6726239090087,9.35402754021157,2.77777777777778
0.957322028090834,26.2664261963619,1.67476051812044,9.30963331713094,2.86195286195286
0.832181257449018,26.3768402940814,1.67656216364208,9.27031563732559,2.94612794612795
0.723245861659467,26.4753491295625,1.67807004745408,9.23550999647653,3.03030303030303
0.628457886174541,26.5634303388715,1.67932066841422,9.20470182555342,3.11447811447811
0.546010373943044,26.6423893898584,1.68034627144409,9.17742533100542,3.1986531986532
0.474319392781228,26.713376842893,1.68117527432551,9.15326142848752,3.28282828282828
0.411998413575558,26.7774046159727,1.6818326697937,9.13183500450021,3.36700336700337
0.357835234807458,26.8353610795939,1.68234039862065,9.11281172105742,3.45117845117845
0.310771179758321,26.8880248806936,1.68271769124386,9.09589474263717,3.53535353535353
0.269882440921234,26.936077604502,1.6829813806355,9.08082133764946,3.61952861952862
0.234363654119499,26.980115089795,1.68314618186863,9.06735961929479,3.7037037037037
0.20351310712231,27.0206577062689,1.68322494602501,9.05530543071671,3.78787878787879
0.176719790311848,27.058436994067,1.68322103108262,9.04443717698265,3.87205387205387
0.153452317112607,27.0957770805838,1.68308961740137,9.03430458354691,3.95622895622895
0.13324864035845,27.1331128167537,1.6828366506348,9.02475702921924,4.04040404040404
0.115706565838488,27.1704416943875,1.68247811109923,9.01572063593931,4.12457912457912
0.100476335488363,27.2077615363322,1.6820279117932,9.00713053689611,4.20875420875421
0.0872535944785091,27.2450704513561,1.6814981720497,8.99892980115639,4.29292929292929
0.0757739809824773,27.2823667996742,1.6808994287423,8.99106860127255,4.37710437710438
0.0658077234683828,27.3196491586068,1.68024084740949,8.98350334586181,4.46127946127946
0.0571552381543323,27.3569162947263,1.6795303950274,8.97619595569837,4.54545454545454
0.0496431959734496,27.3941671390372,1.67877499463656,8.96911320234463,4.62962962962963
0.0431210861980605,27.4314007653373,1.67798066085485,8.96222611504483,4.71380471380471
0.0374582589882603,27.4686163716385,1.67715261676466,8.95550946136734,4.7979797979798
0.0325412902780466,27.5058132636293,1.67629539822791,8.94894127647343,4.88215488215488
0.0282717310694265,27.5429908405713,1.6754129432423,8.94250245301692,4.96632996632996
0.024564137172969,27.5801485829668,1.67450867023657,8.93617637885489,5.05050505050505
0.0213443517840801,27.6172860418173,1.67358554640219,8.92994861799543,5.13468013468013
0.0185480176214904,27.6544028293223,1.67264614702641,8.92380662968618,5.21885521885522
0.0161192870152136,27.691498610821,1.67169270694864,8.91773952405999,5.3030303030303
0.0140096910595829,27.7285730977324,1.67072716566213,8.91173784771209,5.38720538720538
0.0121771630268985,27.7656260414565,1.6697512063643,8.9057933954152,5.47138047138047
0.010585196497908,27.8026572281183,1.6687662896639,8.89989904636466,5.55555555555555
0.00920210991224355,27.8396664739768,1.66777368303055,8.89404862083633,5.63973063973064
0.00800040289903874,27.8766536214129,1.66677448642448,8.88823675899539,5.72390572390572
