"S","CO2","PLFA","Time"
40,0,0,0
37.835298608791,0.191376556075963,0.0167274913737796,0.0202020202020202
35.7453289536291,0.376183310670922,0.0328771872664631,0.0404040404040404
33.7318265653205,0.554265548550878,0.0484356874114665,0.0606060606060606
31.7960785253943,0.725508171088692,0.0633930571373493,0.0808080808080808
29.9389298416578,0.88983514046011,0.0777427780349122,0.101010101010101
28.1607956902557,1.04720840487441,0.0914816532942516,0.121212121212121
26.4616791701645,1.19762633639244,0.104609670445668,0.141414141414141
24.8411932394344,1.34112179852114,0.117129831791034,0.161616161616162
23.2985869025339,1.47775983778972,0.129047951986821,0.181818181818182
21.8327742116474,1.60763512598849,0.14037243388737,0.202020202020202
20.4423669391725,1.73086907762583,0.151114016021244,0.222222222222222
19.1257064337915,1.84760703847597,0.161285526385624,0.242424242424242
17.8808983320252,1.95801522159869,0.170901614175978,0.262626262626263
16.705846598568,2.06227770191996,0.179978486709111,0.282828282828283
15.5982870473731,2.160593456115,0.188533650363764,0.303030303030303
14.5558200712053,2.25317347209623,0.196585657640871,0.323232323232323
13.5759414904977,2.34023802385929,0.204153868764385,0.343434343434343
12.6560715650915,2.42201410846864,0.211258227480572,0.363636363636364
11.7935823168371,2.49873303190252,0.217919049913956,0.383838383838384
10.9858212693592,2.57062831089032,0.224156841115651,0.404040404040404
10.2301344627687,2.63793363888347,0.22999211721419,0.424242424242424
9.52388543722019,2.70088120763637,0.235445258723233,0.444444444444444
8.8644724889145,2.75970018138568,0.240536377199861,0.464646464646465
8.24934328082363,2.81461540454141,0.24528520234696,0.484848484848485
7.67600714941305,2.86584631282583,0.249710986921581,0.505050505050505
7.14204527684022,2.91360603291531,0.253832428139357,0.525252525252525
6.64511914506277,2.9581006338284,0.257667602356504,0.545454545454546
6.18297562660285,2.99952867535715,0.261233925744264,0.565656565656566
5.75345336222768,3.03808064296202,0.264548105016826,0.585858585858586
5.3544846957276,3.07393877500419,0.267626122495111,0.606060606060606
4.9840978877508,3.10727686546098,0.270483219012866,0.626262626262626
4.64041792405045,3.13826019083758,0.273133887684868,0.646464646464647
4.32166615480404,3.16704554037871,0.275591876708241,0.666666666666667
4.02615930664523,3.19378130176822,0.277870197010814,0.686868686868687
3.75230775853986,3.21860761192183,0.279981135587944,0.707070707070707
3.49861327184598,3.24165655606118,0.281936273056845,0.727272727272727
3.26366622614701,3.2630524105181,0.283746505029688,0.747474747474748
3.04614265294311,3.28291190346886,0.285422065048227,0.767676767676768
2.84480087918782,3.30134451019967,0.286972550532986,0.787878787878788
2.65847805296165,3.31845275885472,0.288406949642673,0.808080808080808
2.48608657850333,3.3343325442587,0.289733668833523,0.828282828282828
2.3266104438389,3.34907345129264,0.290960561248075,0.848484848484849
2.17910156759033,3.36275907663923,0.292094954955193,0.868686868686869
2.04267618265156,3.37546734733052,0.293143680904676,0.888888888888889
1.91651125077225,3.38727083662505,0.294113100642507,0.909090909090909
1.79984097415574,3.39823707137024,0.295009133275906,0.929292929292929
1.69195341755669,3.40842882965474,0.295837281584013,0.94949494949495
1.59218723163046,3.41790442956759,0.296602657345663,0.96969696969697
1.49992850973502,3.42671800621561,0.297310005635442,0.98989898989899
1.41460778415898,3.43491977646735,0.297963728041897,1.01010101010101
1.33569715494289,3.44255629202617,0.298567904860711,1.03030303030303
1.26270755017387,3.44967068093413,0.299126316271464,1.05050505050505
1.19518615667919,3.45630287404647,0.299642462197375,1.07070707070707
1.13271395561295,3.46248982229145,0.300119581353976,1.09090909090909
1.07490341354129,3.46826570021232,0.300560669095955,1.11111111111111
1.02139629871673,3.47366209849018,0.300968494296192,1.13131313131313
0.971861630879821,3.47870820469445,0.301345615192708,1.15151515151515
0.925993745926393,3.48343097391396,0.301694394347695,1.17171717171717
0.883510491934745,3.4878552878118,0.302017012591169,1.19191919191919
0.844151518386668,3.49200410546435,0.302315482244277,1.21212121212121
0.807676698324292,3.49589860248724,0.302591659315023,1.23232323232323
0.773864623790272,3.49955830369813,0.302847255127573,1.25252525252525
0.74251122614814,3.50300120477557,0.303083846986254,1.27272727272727
0.713428464824181,3.50624388788374,0.303302888310701,1.29292929292929
0.686443136183259,3.50930162671039,0.303505717842407,1.31313131313131
0.661395707580242,3.51218848928065,0.303693568656703,1.33333333333333
0.638139274822602,3.51491742989385,0.303867576220819,1.35353535353535
0.616538604499127,3.51750037358208,0.304028785795937,1.37373737373737
0.596469197242492,3.51994829871534,0.304178159677501,1.39393939393939
0.577816455619993,3.52227131038832,0.304316583626769,1.41414141414141
0.560474895714125,3.52447870995188,0.304444872964676,1.43434343434343
0.544347416757781,3.52657905942561,0.30456377821699,1.45454545454545
0.529344632994006,3.528580240425,0.304673990278489,1.47474747474747
0.515384246375545,3.53048950948566,0.304776145261492,1.4949494949495
0.502390478061848,3.53231354820435,0.304870828889915,1.51515151515152
0.490293533670262,3.5340585104016,0.304958580632443,1.53535353535354
0.47902911642279,3.53573006506195,0.305039897465496,1.55555555555556
0.468537974638116,3.53733343624396,0.305115237370736,1.57575757575758
0.458765490687709,3.53887343933464,0.305185022512095,1.5959595959596
0.449661297849848,3.54035451484234,0.305249642197162,1.61616161616162
0.44117893195019,3.54178075912231,0.305309455569712,1.63636363636364
0.433275508824495,3.54315595282426,0.305364794102642,1.65656565656566
0.425911426307133,3.54448358717643,0.305415963901357,1.67676767676768
0.419050102937909,3.54576688703295,0.305463247723326,1.6969696969697
0.412657722107417,3.54700883343891,0.305506906955639,1.71717171717172
0.4067030065377,3.54821218352116,0.30554718335808,1.73737373737374
