"Variable","Predictions","Observations","Study"
"DNA",2.65501226240625,NA,"Blagodatskaya et al. (2014)"
"DNA",2.71164391341965,NA,"Blagodatskaya et al. (2014)"
"DNA",2.76932957586149,NA,"Blagodatskaya et al. (2014)"
"DNA",2.83428147491061,NA,"Blagodatskaya et al. (2014)"
"DNA",2.90397022754379,NA,"Blagodatskaya et al. (2014)"
"DNA",2.98105325919183,NA,"Blagodatskaya et al. (2014)"
"DNA",3.05340174935877,2.65017752763535,"Blagodatskaya et al. (2014)"
"DNA",3.12920199598107,NA,"Blagodatskaya et al. (2014)"
"DNA",3.21505696488696,NA,"Blagodatskaya et al. (2014)"
"DNA",3.30465400011735,2.83546258786628,"Blagodatskaya et al. (2014)"
"DNA",3.39418252544872,NA,"Blagodatskaya et al. (2014)"
"DNA",3.49070523531852,NA,"Blagodatskaya et al. (2014)"
"DNA",3.59053719134708,NA,"Blagodatskaya et al. (2014)"
"DNA",3.68551964732949,NA,"Blagodatskaya et al. (2014)"
"DNA",3.79552688246235,3.36097963241646,"Blagodatskaya et al. (2014)"
"DNA",3.90016502754187,NA,"Blagodatskaya et al. (2014)"
"DNA",4.00737960477437,NA,"Blagodatskaya et al. (2014)"
"DNA",4.11699224690422,NA,"Blagodatskaya et al. (2014)"
"DNA",4.23798733350959,NA,"Blagodatskaya et al. (2014)"
"DNA",4.35221895324348,4.94527303274559,"Blagodatskaya et al. (2014)"
"DNA",4.46835462605839,NA,"Blagodatskaya et al. (2014)"
"DNA",4.59107773055591,NA,"Blagodatskaya et al. (2014)"
"DNA",4.71571054594106,NA,"Blagodatskaya et al. (2014)"
"DNA",4.83710456177893,NA,"Blagodatskaya et al. (2014)"
"DNA",4.96459450784288,NA,"Blagodatskaya et al. (2014)"
"DNA",5.08315637671342,NA,"Blagodatskaya et al. (2014)"
"DNA",5.22219949286467,NA,"Blagodatskaya et al. (2014)"
"DNA",5.33671566293973,NA,"Blagodatskaya et al. (2014)"
"DNA",5.47117613865736,NA,"Blagodatskaya et al. (2014)"
"DNA",5.60032440320887,NA,"Blagodatskaya et al. (2014)"
"DNA",5.71893072041671,NA,"Blagodatskaya et al. (2014)"
"DNA",5.84639478098257,6.58436114918147,"Blagodatskaya et al. (2014)"
"DNA",5.9772339749462,NA,"Blagodatskaya et al. (2014)"
"DNA",6.09662212343744,NA,"Blagodatskaya et al. (2014)"
"DNA",2.18459568856396,2.18459568856396,"Blagodatskaya et al. (2014)"
"DNA",2.20347599876719,NA,"Blagodatskaya et al. (2014)"
"DNA",2.22750819264593,NA,"Blagodatskaya et al. (2014)"
"DNA",2.25935245476482,NA,"Blagodatskaya et al. (2014)"
"DNA",2.29639942209246,NA,"Blagodatskaya et al. (2014)"
"DNA",2.33906055611616,NA,"Blagodatskaya et al. (2014)"
"DNA",2.38281580127559,NA,"Blagodatskaya et al. (2014)"
"DNA",2.43706422896254,NA,"Blagodatskaya et al. (2014)"
"DNA",2.49368510743297,NA,"Blagodatskaya et al. (2014)"
"DNA",2.55440879827768,NA,"Blagodatskaya et al. (2014)"
"DNA",2.62168225824773,NA,"Blagodatskaya et al. (2014)"
"DNA",2.68453713862285,NA,"Blagodatskaya et al. (2014)"
"DNA",2.759217702311,2.19195949425575,"Blagodatskaya et al. (2014)"
"DNA",2.82837881734514,NA,"Blagodatskaya et al. (2014)"
"DNA",2.91315556261524,NA,"Blagodatskaya et al. (2014)"
"DNA",2.99166857267489,2.20668710563933,"Blagodatskaya et al. (2014)"
"DNA",3.07652005161156,NA,"Blagodatskaya et al. (2014)"
"DNA",3.16799358336452,NA,"Blagodatskaya et al. (2014)"
"DNA",3.25527110443685,NA,"Blagodatskaya et al. (2014)"
"DNA",3.34900241593835,NA,"Blagodatskaya et al. (2014)"
"DNA",3.44161030614397,2.81051917236599,"Blagodatskaya et al. (2014)"
"DNA",3.53670999615186,NA,"Blagodatskaya et al. (2014)"
"DNA",3.64244886180583,NA,"Blagodatskaya et al. (2014)"
"DNA",3.74667834829564,NA,"Blagodatskaya et al. (2014)"
"DNA",3.85761545408672,NA,"Blagodatskaya et al. (2014)"
"DNA",3.96219910968821,4.09182136273722,"Blagodatskaya et al. (2014)"
"DNA",4.0687542148444,NA,"Blagodatskaya et al. (2014)"
"DNA",4.18170561898791,NA,"Blagodatskaya et al. (2014)"
"DNA",4.30112227835721,NA,"Blagodatskaya et al. (2014)"
"DNA",4.41763612732732,NA,"Blagodatskaya et al. (2014)"
"DNA",4.53086717496516,NA,"Blagodatskaya et al. (2014)"
"DNA",4.65483907610682,NA,"Blagodatskaya et al. (2014)"
"DNA",4.77026425292862,NA,"Blagodatskaya et al. (2014)"
"DNA",4.89126957140185,NA,"Blagodatskaya et al. (2014)"
"DNA",5.01767169650786,NA,"Blagodatskaya et al. (2014)"
"DNA",5.13458716545022,NA,"Blagodatskaya et al. (2014)"
"DNA",5.26119215842029,5.96222800845153,"Blagodatskaya et al. (2014)"
"DNA",5.37287263037492,NA,"Blagodatskaya et al. (2014)"
"DNA",5.50805623499518,NA,"Blagodatskaya et al. (2014)"
"14CO2",0,0,"Glanville et al. (2016)"
"14CO2",1.66842365875513e-09,4.04464262888989e-06,"Glanville et al. (2016)"
"14CO2",4.15539797575061e-09,6.87589246911281e-06,"Glanville et al. (2016)"
"14CO2",1.07887491002195e-08,1.02733922773803e-05,"Glanville et al. (2016)"
"14CO2",2.78963505961311e-08,1.25383921495586e-05,"Glanville et al. (2016)"
"14CO2",6.89638273350352e-08,1.43180349062702e-05,"Glanville et al. (2016)"
"14CO2",1.13287018765984e-07,1.53696419897816e-05,"Glanville et al. (2016)"
"14CO2",2.49873865091244e-07,1.72301775990709e-05,"Glanville et al. (2016)"
"14CO2",5.23890023791527e-07,1.93333917660937e-05,"Glanville et al. (2016)"
"14CO2",1.88538626301153e-06,2.37016058052947e-05,"Glanville et al. (2016)"
"14CO2",3.76730054113139e-06,2.66137484980955e-05,"Glanville et al. (2016)"
"14CO2",5.62139776966606e-06,2.88787483702738e-05,"Glanville et al. (2016)"
"14CO2",7.44807608846451e-06,3.12246410950299e-05,"Glanville et al. (2016)"
"14CO2",9.24773963777859e-06,3.33278552620527e-05,"Glanville et al. (2016)"
"14CO2",1.10207885279743e-05,3.50266051661864e-05,"Glanville et al. (2016)"
"14CO2",1.27676162432607e-05,3.6401783660009e-05,"Glanville et al. (2016)"
"kec",NA,NA,"Glanville et al. (2016)"
"kec",0.416137042387097,0.416509592049687,"Glanville et al. (2016)"
"kec",0.4160868194233,0.399135515184936,"Glanville et al. (2016)"
"kec",0.416039945665728,0.388452222774195,"Glanville et al. (2016)"
"kec",0.416063156059325,0.387109502202214,"Glanville et al. (2016)"
"kec",0.41604205653237,0.366397520399892,"Glanville et al. (2016)"
"kec",0.415984732320586,NA,"Glanville et al. (2016)"
"kec",0.415481396249789,0.365741491230364,"Glanville et al. (2016)"
"kec",0.406099896952239,0.35439646504862,"Glanville et al. (2016)"
"kec",0.23734089070118,0.28898679147067,"Glanville et al. (2016)"
"kec",0.237349684120408,0.285072008709025,"Glanville et al. (2016)"
"kec",0.237349683077192,0.277817894859441,"Glanville et al. (2016)"
"kec",0.237349683077308,0.25385999481832,"Glanville et al. (2016)"
"kec",0.237349683077214,0.254624411415858,"Glanville et al. (2016)"
"kec",0.237349683077204,0.254718537340182,"Glanville et al. (2016)"
"kec",0.237349683077202,0.287553510350286,"Glanville et al. (2016)"
"14MBC",NA,0,"Glanville et al. (2016)"
"14MBC",8.52434158833743e-09,4.64616855223386e-05,"Glanville et al. (2016)"
"14MBC",1.49895149557789e-08,4.41815078159653e-05,"Glanville et al. (2016)"
"14MBC",2.32977410005562e-08,4.31517501421192e-05,"Glanville et al. (2016)"
"14MBC",2.87424738547051e-08,3.99889230010207e-05,"Glanville et al. (2016)"
"14MBC",2.3705882443467e-08,3.97682606423394e-05,"Glanville et al. (2016)"
"14MBC",1.6058413967139e-08,3.88120570880538e-05,"Glanville et al. (2016)"
"14MBC",4.18347742091752e-09,3.71203123381639e-05,"Glanville et al. (2016)"
"14MBC",2.76220913086003e-10,NA,"Glanville et al. (2016)"
